game_id,week,season_type,neutral_site,conference_game,venue,home_team,home_conference,home_points,away_team,away_conference,away_points,Date,Attendance
401634133,1,regular,FALSE,FALSE,Kidd Brewer Stadium,App State,Sun Belt,38,East Tennessee State,Southern,10,08/31/2024,36232
401635532,2,regular,FALSE,FALSE,"Memorial Stadium (Clemson, SC)",Clemson,ACC,66,App State,Sun Belt,20,09/07/2024,81500
401643785,3,regular,FALSE,FALSE,Dowdy-Ficklen Stadium,East Carolina,American Athletic,19,App State,Sun Belt,21,09/14/2024,46117
401643790,4,regular,FALSE,TRUE,Kidd Brewer Stadium,App State,Sun Belt,14,South Alabama,Sun Belt,48,09/19/2024,34133
401643799,6,regular,FALSE,TRUE,Joan C. Edwards Stadium,Marshall,Sun Belt,52,App State,Sun Belt,37,10/05/2024,28023
401643806,7,regular,FALSE,TRUE,Cajun Field,Louisiana,Sun Belt,34,App State,Sun Belt,24,10/12/2024,14058
401643816,9,regular,FALSE,TRUE,Kidd Brewer Stadium,App State,Sun Belt,33,Georgia State,Sun Belt,26,10/26/2024,33783
401643821,10,regular,FALSE,TRUE,Kidd Brewer Stadium,App State,Sun Belt,28,Old Dominion,Sun Belt,20,11/02/2024,34954
401643825,11,regular,FALSE,TRUE,Brooks Stadium (SC),Coastal Carolina,Sun Belt,38,App State,Sun Belt,24,11/07/2024,19415
401643836,13,regular,FALSE,TRUE,Kidd Brewer Stadium,App State,Sun Belt,34,James Madison,Sun Belt,20,11/23/2024,34012
401643844,14,regular,FALSE,TRUE,Allen E. Paulson Stadium,Georgia Southern,Sun Belt,29,App State,Sun Belt,20,11/30/2024,23383
401632064,1,regular,FALSE,FALSE,Centennial Bank Stadium,Arkansas State,Sun Belt,34,Central Arkansas,UAC,31,08/31/2024,21708
401643779,2,regular,FALSE,FALSE,Centennial Bank Stadium,Arkansas State,Sun Belt,28,Tulsa,American Athletic,24,09/07/2024,19316
401628479,3,regular,FALSE,FALSE,Michigan Stadium,Michigan,Big Ten,28,Arkansas State,Sun Belt,18,09/14/2024,110250
401636875,4,regular,FALSE,FALSE,Jack Trice Stadium,Iowa State,Big 12,52,Arkansas State,Sun Belt,7,09/21/2024,55428
401643800,6,regular,FALSE,TRUE,Centennial Bank Stadium,Arkansas State,Sun Belt,18,South Alabama,Sun Belt,16,10/05/2024,21427
401643808,7,regular,FALSE,TRUE,Bobcat Stadium (TX),Texas State,Sun Belt,41,Arkansas State,Sun Belt,9,10/12/2024,28000
401643814,8,regular,FALSE,TRUE,M. M. Roberts Stadium,Southern Miss,Sun Belt,28,Arkansas State,Sun Belt,44,10/19/2024,24542
401643818,9,regular,FALSE,TRUE,Centennial Bank Stadium,Arkansas State,Sun Belt,34,Troy,Sun Belt,31,10/26/2024,17162
401643827,11,regular,FALSE,TRUE,Cajun Field,Louisiana,Sun Belt,55,Arkansas State,Sun Belt,19,11/09/2024,16451
401643831,12,regular,FALSE,TRUE,Center Parc Stadium,Georgia State,Sun Belt,20,Arkansas State,Sun Belt,27,11/16/2024,14047
